id,name,level,jiangxinLV,yelinglong,suiyin,props,deco,texiao
10100, 纳海, 0, 0, 0, 0, 空, 空, 空
10101, 纳海, 1, 14, 40, 600000, 纳海：全基础属性+12, 空, 空
10102, 纳海, 2, 18, 90, 1350000, 纳海：全基础属性+17, 空, 空
10103, 纳海, 3, 21, 150, 2250000, 纳海：全基础属性+21, 空, 空
10104, 纳海, 4, 23, 200, 3000000, 纳海：全基础属性+26, 空, 空
10105, 纳海, 5, 24, 0, 0, 纳海：全基础属性+30, 空, 空
10200, 朝山, 0, 0, 0, 0, 空, 空, 空
10201, 朝山, 1, 0, 30, 450000, 朝山：气血上限+400, 空, 空
10202, 朝山, 2, 18, 60, 900000, 朝山：气血上限+550, 空, 空
10203, 朝山, 3, 21, 100, 1500000, 朝山：气血上限+700, 空, 空
10204, 朝山, 4, 23, 150, 2250000, 朝山：气血上限+850, 空, 空
10205, 朝山, 5, 24, 0, 0, 朝山：气血上限+1000, 空, 空
10300, 烈光, 0, 0, 0, 0, 空, 空, 空
10301, 烈光, 1, 14, 60, 900000, 烈光：外功攻击+120, 空, 空
10302, 烈光, 2, 18, 120, 1800000, 烈光：外功攻击+165, 空, 空
10303, 烈光, 3, 23, 200, 3000000, 烈光：外功攻击+210, 空, 空
10304, 烈光, 4, 24, 300, 4500000, 烈光：外功攻击+255, 空, 空
10305, 烈光, 5, 25, 0, 0, 烈光：外功攻击+300, 空, 空
10400, 寒宸, 0, 0, 0, 0, 空, 空, 空
10401, 寒宸, 1, 14, 60, 900000, 寒宸：内功攻击+80, 空, 空
10402, 寒宸, 2, 18, 120, 1800000, 寒宸：内功攻击+110, 空, 空
10403, 寒宸, 3, 23, 200, 3000000, 寒宸：内功攻击+140, 空, 空
10404, 寒宸, 4, 24, 300, 4500000, 寒宸：内功攻击+170, 空, 空
10405, 寒宸, 5, 25, 0, 0, 寒宸：内功攻击+200, 空, 空
10500, 灵焰, 0, 0, 0, 0, 空, 空, 空
10501, 灵焰, 1, 14, 60, 900000, 灵焰：会心伤害+12%, 空, 空
10502, 灵焰, 2, 18, 120, 1800000, 灵焰：会心伤害+16.5%, 空, 空
10503, 灵焰, 3, 23, 200, 3000000, 灵焰：会心伤害+21%, 空, 空
10504, 灵焰, 4, 24, 300, 4500000, 灵焰：会心伤害+25.5%, 空, 空
10505, 灵焰, 5, 25, 0, 0, 灵焰：会心伤害+30%, 空, 空
10600, 心芒, 0, 0, 0, 0, 空, 空, 空
10601, 心芒, 1, 14, 60, 900000, 心芒：会心率+4%, 空, 空
10602, 心芒, 2, 18, 120, 1800000, 心芒：会心率+5.5%, 空, 空
10603, 心芒, 3, 23, 200, 3000000, 心芒：会心率+7%, 空, 空
10604, 心芒, 4, 24, 300, 4500000, 心芒：会心率+8.5%, 空, 空
10605, 心芒, 5, 25, 0, 0, 心芒：会心率+10%, 空, 空
